VIN_NO,ContractStartDate,MaturityDate,TerminationDate,SaleDate,TerminationType,PurchasedBy,PurchasingRegion,ModelYear,TrimName,ModelName,SalesChannel,CarAccident,InspectedDamage_NotRepaired,RepairCost,Odometer,PurchasePrice,MSRP
5370,2015-03-31,2018-06-30,2018-02-28,2018-04-30,Terminated Prior to Maturity Date,Independent Retailer,1,2001,TRIM_2,MODEL_A,H,Moderate,3500,400,56000,19000,39000
5371,2015-04-30,2019-04-30,2019-04-30,2019-06-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,No,500,500,32000,19000,43000
5372,2015-09-30,2019-09-30,2019-10-31,2019-11-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,Mild,600,500,66000,13000,44000
5373,2015-05-31,2018-08-31,2018-08-31,2018-12-31,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_2,MODEL_A,H,Moderate,6300,500,43000,17000,38000
5374,2015-05-31,2018-05-31,2018-05-31,2018-08-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,No,2200,NULL,71000,17000,38000
5375,2015-03-31,2019-03-31,2019-02-28,2019-02-28,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,G,No,1500,NULL,69000,17000,42000
5376,2015-04-30,2018-07-31,2018-07-31,2018-10-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,No,2100,1100,52000,16000,41000
5377,2015-03-31,2018-06-30,2018-06-30,2018-07-31,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_2,MODEL_A,H,No,500,400,33000,19000,42000
5378,2015-06-30,2018-09-30,2018-04-30,2018-07-31,Terminated Prior to Maturity Date,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,No,300,500,74000,17000,41000
5379,2015-03-31,2018-06-30,2018-07-31,2019-02-28,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,No,NULL,1900,58000,20000,41000
