VIN_NO,TYPE,COLOUR
14192,Exterior Color,GREY
14192,Upholstery Type,RED
14193,Exterior Color,SILVER
14193,Upholstery Type,BLACK
14194,Exterior Color,RED
14194,Upholstery Type,BLACK
14195,Exterior Color,GREY
14195,Upholstery Type,RED
14196,Upholstery Type,BLACK
14196,Exterior Color,WHITE
14197,Exterior Color,BROWN
14197,Upholstery Type,UNDEF
14198,Upholstery Type,BLACK
14198,Exterior Color,WHITE
14199,Exterior Color,WHITE
14199,Upholstery Type,BLACK
14200,Upholstery Type,BLACK
14200,Exterior Color,WHITE
14201,Exterior Color,BLUE
14201,Upholstery Type,BROWN
14202,Upholstery Type,BLACK
14202,Exterior Color,BLACK
14203,Upholstery Type,BLACK
14203,Exterior Color,BLACK
14204,Exterior Color,GREY
14204,Upholstery Type,BLACK
14205,Upholstery Type,BLACK
14205,Exterior Color,WHITE
14206,Exterior Color,UNDEF
14206,Upholstery Type,BEIGE
14207,Upholstery Type,UNDEF
14207,Exterior Color,WHITE
14208,Upholstery Type,BLACK
14208,Exterior Color,SILVER
14209,Upholstery Type,BLACK
14209,Exterior Color,BLACK
14210,Upholstery Type,BLACK
14210,Exterior Color,SILVER
14211,Exterior Color,BLACK
14211,Upholstery Type,BLACK
14212,Upholstery Type,BLACK
14212,Exterior Color,WHITE
14213,Exterior Color,UNDEF
14213,Upholstery Type,BLACK
14214,Exterior Color,BLACK
14214,Upholstery Type,BLACK
14215,Exterior Color,BLACK
14215,Upholstery Type,UNDEF
14216,Exterior Color,BLACK
14216,Upholstery Type,RED
14217,Upholstery Type,BLACK
14217,Exterior Color,WHITE
14218,Exterior Color,GREY
14218,Upholstery Type,UNDEF
14219,Upholstery Type,BLACK
14219,Exterior Color,BLUE
14220,Upholstery Type,BLACK
14220,Exterior Color,BLACK
14221,Upholstery Type,BLACK
14221,Exterior Color,WHITE
14222,Upholstery Type,UNDEF
14222,Exterior Color,BLACK
14223,Upholstery Type,BLACK
14223,Exterior Color,SILVER
14224,Exterior Color,WHITE
14224,Upholstery Type,BLACK
14225,Exterior Color,BLACK
14225,Upholstery Type,BLACK
14226,Exterior Color,BLACK
14226,Upholstery Type,BLACK
14227,Exterior Color,WHITE
14227,Upholstery Type,BROWN
14228,Exterior Color,BLACK
14228,Upholstery Type,RED
14229,Exterior Color,BLUE
14229,Upholstery Type,BLACK
14230,Upholstery Type,BLACK
14230,Exterior Color,BLACK
14231,Exterior Color,WHITE
14231,Upholstery Type,BEIGE
14232,Upholstery Type,BLACK
14232,Exterior Color,SILVER
14233,Exterior Color,BLACK
14233,Upholstery Type,BLACK
14234,Upholstery Type,BLACK
14234,Exterior Color,WHITE
14235,Exterior Color,SILVER
14235,Upholstery Type,BLACK
14236,Upholstery Type,BLACK
14236,Exterior Color,WHITE
14237,Exterior Color,BLACK
14237,Upholstery Type,RED
14238,Exterior Color,SILVER
14238,Upholstery Type,BLACK
14239,Upholstery Type,BLACK
14239,Exterior Color,SILVER
14240,Upholstery Type,BLACK
14240,Exterior Color,BLACK
14241,Exterior Color,BLUE
14241,Upholstery Type,UNDEF
14242,Upholstery Type,BLACK
14242,Exterior Color,GREY
14243,Exterior Color,WHITE
14243,Upholstery Type,BROWN
14244,Exterior Color,UNDEF
14244,Upholstery Type,BLACK
14245,Exterior Color,WHITE
14245,Upholstery Type,BLACK
14246,Upholstery Type,BLACK
14246,Exterior Color,BLUE
14247,Exterior Color,GREY
14247,Upholstery Type,BLACK
14248,Exterior Color,BLACK
14248,Upholstery Type,BLACK
14249,Upholstery Type,BLACK
14249,Exterior Color,WHITE
14250,Upholstery Type,BLACK
14250,Exterior Color,BLUE
14251,Upholstery Type,UNDEF
14251,Exterior Color,BLUE
14252,Upholstery Type,BLACK
14252,Exterior Color,UNDEF
14253,Upholstery Type,UNDEF
14253,Exterior Color,BLACK
14254,Upholstery Type,BLACK
14254,Exterior Color,SILVER
14255,Upholstery Type,BLACK
14255,Exterior Color,UNDEF
14256,Exterior Color,GREY
14256,Upholstery Type,BLACK
14257,Exterior Color,WHITE
14257,Upholstery Type,BEIGE
14258,Upholstery Type,BLACK
14258,Exterior Color,BROWN
14259,Exterior Color,GREY
14259,Upholstery Type,BLACK
14260,Upholstery Type,BLACK
14260,Exterior Color,WHITE
14261,Upholstery Type,BLACK
14261,Exterior Color,BLACK
14262,Upholstery Type,BLACK
14262,Exterior Color,SILVER
14263,Upholstery Type,BLACK
14263,Exterior Color,GREY
14264,Upholstery Type,BLACK
14264,Exterior Color,WHITE
14265,Upholstery Type,BLACK
14265,Exterior Color,GREY
14266,Exterior Color,WHITE
14266,Upholstery Type,RED
14267,Upholstery Type,RED
14267,Exterior Color,BLACK
14268,Exterior Color,SILVER
14268,Upholstery Type,BLACK
14269,Upholstery Type,BLACK
14269,Exterior Color,BLACK
14270,Exterior Color,BLACK
14270,Upholstery Type,BLACK
14271,Exterior Color,WHITE
14271,Upholstery Type,RED
14272,Exterior Color,BLACK
14272,Upholstery Type,BLACK
14273,Upholstery Type,BLACK
14273,Exterior Color,SILVER
14274,Exterior Color,WHITE
14274,Upholstery Type,RED
14275,Exterior Color,BLACK
14275,Upholstery Type,BLACK
14276,Exterior Color,GREY
14276,Upholstery Type,BLACK
14277,Upholstery Type,BLACK
14277,Exterior Color,WHITE
14278,Exterior Color,WHITE
14278,Upholstery Type,BLACK
14279,Upholstery Type,BLACK
14279,Exterior Color,SILVER
14280,Exterior Color,BLUE
14280,Upholstery Type,BEIGE
14281,Exterior Color,BLUE
14281,Upholstery Type,BEIGE
14282,Exterior Color,BLUE
14282,Upholstery Type,WHITE
14283,Exterior Color,UNDEF
14283,Upholstery Type,BLACK
14284,Upholstery Type,UNDEF
14284,Exterior Color,WHITE
14285,Upholstery Type,BLACK
14285,Exterior Color,BLACK
14286,Exterior Color,SILVER
14286,Upholstery Type,BLACK
14287,Upholstery Type,BLACK
14287,Exterior Color,GREY
14288,Upholstery Type,BLACK
14288,Exterior Color,WHITE
14289,Exterior Color,BLUE
14289,Upholstery Type,UNDEF
14290,Exterior Color,BLACK
14290,Upholstery Type,RED
14291,Exterior Color,WHITE
14291,Upholstery Type,BLACK
14292,Exterior Color,SILVER
14292,Upholstery Type,BLACK
14293,Exterior Color,BLUE
14293,Upholstery Type,BLACK
14294,Exterior Color,WHITE
14294,Upholstery Type,BLACK
14295,Exterior Color,SILVER
14295,Upholstery Type,BLACK
14296,Exterior Color,WHITE
14296,Upholstery Type,BROWN
14297,Upholstery Type,BLACK
14297,Exterior Color,BLACK
14298,Upholstery Type,BLACK
14298,Exterior Color,RED
14299,Exterior Color,WHITE
14299,Upholstery Type,BLACK
14300,Exterior Color,GREY
14300,Upholstery Type,BLACK
14301,Upholstery Type,BLACK
14301,Exterior Color,WHITE
14302,Exterior Color,BLUE
14302,Upholstery Type,BEIGE
14303,Exterior Color,SILVER
14303,Upholstery Type,BLACK
14304,Upholstery Type,UNDEF
14304,Exterior Color,GREY
14305,Exterior Color,GREY
14305,Upholstery Type,UNDEF
14306,Exterior Color,BLACK
14306,Upholstery Type,BLACK
14307,Exterior Color,BLACK
14307,Upholstery Type,BLACK
14308,Upholstery Type,BLACK
14308,Exterior Color,WHITE
14309,Upholstery Type,BLACK
14309,Exterior Color,BLACK
14310,Exterior Color,BLACK
14310,Upholstery Type,BLACK
14311,Exterior Color,GREY
14311,Upholstery Type,BLACK
14312,Upholstery Type,RED
14312,Exterior Color,GREY
14313,Upholstery Type,BLACK
14313,Exterior Color,WHITE
14314,Exterior Color,BLACK
14314,Upholstery Type,RED
14315,Exterior Color,WHITE
14315,Upholstery Type,UNDEF
14316,Exterior Color,WHITE
14316,Upholstery Type,BEIGE
14317,Exterior Color,WHITE
14317,Upholstery Type,BEIGE
14318,Upholstery Type,BROWN
14318,Exterior Color,BLACK
14319,Exterior Color,SILVER
14319,Upholstery Type,BLACK
14320,Upholstery Type,UNDEF
14320,Exterior Color,WHITE
14321,Upholstery Type,BLACK
14321,Exterior Color,BLACK
14322,Exterior Color,SILVER
14322,Upholstery Type,BLACK
14323,Exterior Color,BLACK
14323,Upholstery Type,BLACK
14324,Exterior Color,BLACK
14324,Upholstery Type,BLACK
14325,Exterior Color,BLUE
14325,Upholstery Type,UNDEF
14326,Exterior Color,BLACK
14326,Upholstery Type,RED
14327,Exterior Color,GREY
14327,Upholstery Type,BLACK
14328,Exterior Color,GREY
14328,Upholstery Type,BLACK
14329,Upholstery Type,BLACK
14329,Exterior Color,WHITE
14330,Upholstery Type,RED
14330,Exterior Color,GREY
14331,Exterior Color,BLACK
14331,Upholstery Type,BROWN
14332,Exterior Color,WHITE
14332,Upholstery Type,BLACK
14333,Exterior Color,BLUE
14333,Upholstery Type,BLACK
14334,Exterior Color,WHITE
14334,Upholstery Type,BEIGE
14335,Exterior Color,BLUE
14335,Upholstery Type,BLACK
14336,Exterior Color,BLACK
14336,Upholstery Type,BLACK
14337,Exterior Color,GREY
14337,Upholstery Type,BEIGE
14338,Upholstery Type,BLACK
14338,Exterior Color,BLACK
14339,Upholstery Type,BLACK
14339,Exterior Color,SILVER
14340,Exterior Color,WHITE
14340,Upholstery Type,RED
14341,Upholstery Type,BLACK
14341,Exterior Color,WHITE
14342,Exterior Color,WHITE
14342,Upholstery Type,BLACK
14343,Upholstery Type,RED
14343,Exterior Color,WHITE
14344,Upholstery Type,BLACK
14344,Exterior Color,UNDEF
14345,Exterior Color,BLACK
14345,Upholstery Type,BLACK
14346,Upholstery Type,BROWN
14346,Exterior Color,BLUE
14347,Upholstery Type,UNDEF
14347,Exterior Color,BLUE
14348,Exterior Color,BLUE
14348,Upholstery Type,BROWN
14349,Exterior Color,GREY
14349,Upholstery Type,BLACK
14350,Upholstery Type,BLACK
14350,Exterior Color,WHITE
14351,Exterior Color,BLACK
14351,Upholstery Type,BROWN
14352,Exterior Color,BLACK
14352,Upholstery Type,BLACK
14353,Exterior Color,GREY
14353,Upholstery Type,BLACK
14354,Exterior Color,WHITE
14354,Upholstery Type,BLACK
14355,Upholstery Type,BROWN
14355,Exterior Color,GREY
14356,Upholstery Type,BROWN
14356,Exterior Color,WHITE
14357,Exterior Color,BLACK
14357,Upholstery Type,BLACK
14358,Exterior Color,BLACK
14358,Upholstery Type,BLACK
14359,Exterior Color,BLACK
14359,Upholstery Type,BROWN
14360,Upholstery Type,BLACK
14360,Exterior Color,BLUE
14361,Exterior Color,WHITE
14361,Upholstery Type,BLACK
14362,Exterior Color,GREY
14362,Upholstery Type,BLACK
14363,Upholstery Type,BLACK
14363,Exterior Color,SILVER
14364,Upholstery Type,BEIGE
14364,Exterior Color,UNDEF
14365,Upholstery Type,BLACK
14365,Exterior Color,BLACK
14366,Upholstery Type,BLACK
14366,Exterior Color,WHITE
14367,Upholstery Type,BROWN
14367,Exterior Color,BLACK
14368,Upholstery Type,BLACK
14368,Exterior Color,SILVER
14369,Upholstery Type,BROWN
14369,Exterior Color,BLUE
14370,Exterior Color,BLACK
14370,Upholstery Type,BLACK
14371,Upholstery Type,BLACK
14371,Exterior Color,WHITE
14372,Upholstery Type,BROWN
14372,Exterior Color,WHITE
14373,Exterior Color,BLUE
14373,Upholstery Type,BROWN
14374,Exterior Color,BLACK
14374,Upholstery Type,BROWN
14375,Upholstery Type,RED
14375,Exterior Color,BLACK
14376,Upholstery Type,RED
14376,Exterior Color,BLACK
14377,Upholstery Type,BLACK
14377,Exterior Color,GREY
14378,Exterior Color,BLUE
14378,Upholstery Type,UNDEF
14379,Upholstery Type,BLACK
14379,Exterior Color,WHITE
14380,Upholstery Type,BLACK
14380,Exterior Color,WHITE
14381,Exterior Color,GREY
14381,Upholstery Type,BLACK
14382,Upholstery Type,BLACK
14382,Exterior Color,GREY
14383,Exterior Color,BLACK
14383,Upholstery Type,BLACK
14384,Exterior Color,BLACK
14384,Upholstery Type,BLACK
14385,Exterior Color,GREY
14385,Upholstery Type,BLACK
14386,Exterior Color,GREY
14386,Upholstery Type,RED
14387,Exterior Color,BLACK
14387,Upholstery Type,BLACK
14388,Exterior Color,WHITE
14388,Upholstery Type,BLACK
14389,Exterior Color,GREY
14389,Upholstery Type,BLACK
14390,Upholstery Type,UNDEF
14390,Exterior Color,BLUE
14391,Exterior Color,BLUE
14391,Upholstery Type,BLACK
14392,Upholstery Type,BLACK
14392,Exterior Color,BLUE
14393,Exterior Color,GREY
14393,Upholstery Type,BLACK
14394,Exterior Color,WHITE
14394,Upholstery Type,BLACK
14395,Exterior Color,BLUE
14395,Upholstery Type,UNDEF
14396,Exterior Color,WHITE
14396,Upholstery Type,BLACK
14397,Exterior Color,SILVER
14397,Upholstery Type,BLACK
14398,Exterior Color,WHITE
14398,Upholstery Type,UNDEF
14399,Upholstery Type,UNDEF
14399,Exterior Color,WHITE
14400,Exterior Color,WHITE
14400,Upholstery Type,RED
14401,Exterior Color,WHITE
14401,Upholstery Type,BLACK
14402,Upholstery Type,UNDEF
14402,Exterior Color,BLACK
14403,Upholstery Type,BLACK
14403,Exterior Color,BLACK
14404,Exterior Color,BLACK
14404,Upholstery Type,BLACK
14405,Exterior Color,BLACK
14405,Upholstery Type,UNDEF
14406,Exterior Color,BLACK
14406,Upholstery Type,UNDEF
14407,Exterior Color,SILVER
14407,Upholstery Type,BLACK
14408,Upholstery Type,BLACK
14408,Exterior Color,WHITE
14409,Exterior Color,WHITE
14409,Upholstery Type,BLACK
14410,Upholstery Type,UNDEF
14410,Exterior Color,WHITE
14411,Exterior Color,BLACK
14411,Upholstery Type,BLACK
14412,Upholstery Type,BLACK
14412,Exterior Color,WHITE
14413,Upholstery Type,BLACK
14413,Exterior Color,BLACK
14414,Upholstery Type,GREY
14414,Exterior Color,BLACK
14415,Upholstery Type,BEIGE
14415,Exterior Color,BLACK
14416,Upholstery Type,BLACK
14416,Exterior Color,BLACK
14417,Upholstery Type,BEIGE
14417,Exterior Color,UNDEF
14418,Upholstery Type,BLACK
14418,Exterior Color,WHITE
14419,Upholstery Type,BLACK
14419,Exterior Color,WHITE
14420,Upholstery Type,BLACK
14420,Exterior Color,SILVER
14421,Exterior Color,SILVER
14421,Upholstery Type,RED
14422,Upholstery Type,BLACK
14422,Exterior Color,BLUE
14423,Upholstery Type,BLACK
14423,Exterior Color,BLACK
14424,Upholstery Type,BLACK
14424,Exterior Color,BLACK
14425,Exterior Color,BLUE
14425,Upholstery Type,UNDEF
14426,Upholstery Type,RED
14426,Exterior Color,WHITE
14427,Exterior Color,WHITE
14427,Upholstery Type,BLACK
14428,Upholstery Type,BLACK
14428,Exterior Color,GREY
14429,Upholstery Type,BEIGE
14429,Exterior Color,WHITE
14430,Exterior Color,SILVER
14430,Upholstery Type,BLACK
14431,Exterior Color,BLUE
14431,Upholstery Type,BEIGE
14432,Exterior Color,SILVER
14432,Upholstery Type,BLACK
14433,Upholstery Type,BLACK
14433,Exterior Color,BLACK
14434,Upholstery Type,BEIGE
14434,Exterior Color,BLACK
14435,Upholstery Type,BLACK
14435,Exterior Color,SILVER
14436,Exterior Color,BLACK
14436,Upholstery Type,BEIGE
14437,Exterior Color,UNDEF
14437,Upholstery Type,BLACK
14438,Upholstery Type,BLACK
14438,Exterior Color,GREY
14439,Exterior Color,BLACK
14439,Upholstery Type,BLACK
14440,Upholstery Type,BLACK
14440,Exterior Color,BLACK
14441,Upholstery Type,RED
14441,Exterior Color,SILVER
14442,Exterior Color,WHITE
14442,Upholstery Type,BLACK
14443,Upholstery Type,BROWN
14443,Exterior Color,BLUE
14444,Upholstery Type,BLACK
14444,Exterior Color,RED
14445,Upholstery Type,BROWN
14445,Exterior Color,GREY
14446,Upholstery Type,BLACK
14446,Exterior Color,GREY
14447,Exterior Color,UNDEF
14447,Upholstery Type,UNDEF
14448,Exterior Color,RED
14448,Upholstery Type,BLACK
14449,Exterior Color,SILVER
14449,Upholstery Type,BLACK
14450,Exterior Color,BLACK
14450,Upholstery Type,BROWN
14451,Upholstery Type,BLACK
14451,Exterior Color,SILVER
14452,Upholstery Type,BLACK
14452,Exterior Color,UNDEF
14453,Upholstery Type,BLACK
14453,Exterior Color,SILVER
14454,Exterior Color,BLUE
14454,Upholstery Type,BROWN
14455,Exterior Color,GREY
14455,Upholstery Type,BLACK
14456,Upholstery Type,GREY
14456,Exterior Color,BLACK
14457,Exterior Color,GREY
14457,Upholstery Type,BLACK
14458,Exterior Color,BLUE
14458,Upholstery Type,BROWN
14459,Exterior Color,BLACK
14459,Upholstery Type,UNDEF
14460,Exterior Color,WHITE
14460,Upholstery Type,RED
14461,Exterior Color,BLACK
14461,Upholstery Type,BLACK
14462,Exterior Color,BLACK
14462,Upholstery Type,BLACK
14463,Upholstery Type,BLACK
14463,Exterior Color,WHITE
14464,Exterior Color,GREY
14464,Upholstery Type,BLACK
14465,Upholstery Type,RED
14465,Exterior Color,SILVER
14466,Exterior Color,SILVER
14466,Upholstery Type,BLACK
14467,Upholstery Type,BLACK
14467,Exterior Color,WHITE
14468,Exterior Color,WHITE
14468,Upholstery Type,UNDEF
14469,Upholstery Type,BLACK
14469,Exterior Color,BLACK
14470,Upholstery Type,BLACK
14470,Exterior Color,GREY
14471,Upholstery Type,BLACK
14471,Exterior Color,WHITE
14472,Exterior Color,WHITE
14472,Upholstery Type,BLACK
14473,Upholstery Type,BLACK
14473,Exterior Color,BLACK
14474,Upholstery Type,BLACK
14474,Exterior Color,WHITE
14475,Exterior Color,BLACK
14475,Upholstery Type,BLACK
14476,Exterior Color,BLUE
14476,Upholstery Type,UNDEF
14477,Upholstery Type,BLACK
14477,Exterior Color,WHITE
14478,Upholstery Type,BLACK
14478,Exterior Color,SILVER
14479,Exterior Color,WHITE
14479,Upholstery Type,BEIGE
14480,Upholstery Type,BLACK
14480,Exterior Color,GREY
14481,Upholstery Type,UNDEF
14481,Exterior Color,WHITE
14482,Upholstery Type,UNDEF
14482,Exterior Color,BLACK
14483,Exterior Color,GREY
14483,Upholstery Type,BLACK
14484,Upholstery Type,UNDEF
14484,Exterior Color,BLACK
14485,Exterior Color,GREY
14485,Upholstery Type,BLACK
14486,Exterior Color,BLUE
14486,Upholstery Type,BLACK
14487,Upholstery Type,BLACK
14487,Exterior Color,BLACK
14488,Upholstery Type,BLACK
14488,Exterior Color,BLACK
14489,Exterior Color,WHITE
14489,Upholstery Type,BLACK
14490,Upholstery Type,BLACK
14490,Exterior Color,BLACK
14491,Exterior Color,BLACK
14491,Upholstery Type,BLACK
14492,Exterior Color,BLUE
14492,Upholstery Type,UNDEF
14493,Upholstery Type,UNDEF
14493,Exterior Color,WHITE
14494,Upholstery Type,RED
14494,Exterior Color,WHITE
14495,Upholstery Type,UNDEF
14495,Exterior Color,WHITE
14496,Upholstery Type,BLACK
14496,Exterior Color,SILVER
14497,Upholstery Type,BLACK
14497,Exterior Color,GREY
14498,Upholstery Type,BLACK
14498,Exterior Color,SILVER
14499,Exterior Color,BLUE
14499,Upholstery Type,BLACK
14500,Upholstery Type,BLACK
14500,Exterior Color,BLACK
14501,Upholstery Type,BLACK
14501,Exterior Color,BLACK
14502,Upholstery Type,BLACK
14502,Exterior Color,RED
14503,Upholstery Type,BLACK
14503,Exterior Color,WHITE
14504,Upholstery Type,BLACK
14504,Exterior Color,GREY
14505,Exterior Color,SILVER
14505,Upholstery Type,BLACK
14506,Upholstery Type,UNDEF
14506,Exterior Color,BLUE
14507,Upholstery Type,BLACK
14507,Exterior Color,WHITE
14508,Exterior Color,BLACK
14508,Upholstery Type,BLACK
14509,Upholstery Type,BLACK
14509,Exterior Color,BLUE
14510,Exterior Color,BLUE
14510,Upholstery Type,UNDEF
14511,Exterior Color,BLACK
14511,Upholstery Type,RED
14512,Exterior Color,WHITE
14512,Upholstery Type,UNDEF
14513,Exterior Color,SILVER
14513,Upholstery Type,BLACK
14514,Upholstery Type,BLACK
14514,Exterior Color,GREY
14515,Upholstery Type,BLACK
14515,Exterior Color,WHITE
14516,Exterior Color,GREY
14516,Upholstery Type,BLACK
14517,Upholstery Type,BLACK
14517,Exterior Color,BLACK
14518,Upholstery Type,BLACK
14518,Exterior Color,WHITE
14519,Exterior Color,WHITE
14519,Upholstery Type,BLACK
14520,Exterior Color,GREY
14520,Upholstery Type,UNDEF
14521,Upholstery Type,GREY
14521,Exterior Color,BLACK
14522,Upholstery Type,UNDEF
14522,Exterior Color,BLACK
14523,Exterior Color,BLACK
14523,Upholstery Type,BLACK
14524,Exterior Color,BLACK
14524,Upholstery Type,BLACK
14525,Upholstery Type,BLACK
14525,Exterior Color,GREY
14526,Upholstery Type,UNDEF
14526,Exterior Color,BLACK
14527,Exterior Color,SILVER
14527,Upholstery Type,BLACK
14528,Upholstery Type,BLACK
14528,Exterior Color,RED
14529,Exterior Color,GREY
14529,Upholstery Type,UNDEF
14530,Upholstery Type,BLACK
14530,Exterior Color,GREY
14531,Upholstery Type,BLACK
14531,Exterior Color,WHITE
14532,Exterior Color,WHITE
14532,Upholstery Type,BLACK
14533,Upholstery Type,BLACK
14533,Exterior Color,WHITE
14534,Upholstery Type,BLACK
14534,Exterior Color,WHITE
14535,Exterior Color,WHITE
14535,Upholstery Type,BLACK
14536,Upholstery Type,BLACK
14536,Exterior Color,GREY
14537,Upholstery Type,BLACK
14537,Exterior Color,GREY
14539,Exterior Color,BLACK
14539,Upholstery Type,BLACK
14540,Exterior Color,BLUE
14540,Upholstery Type,BLACK
14541,Upholstery Type,UNDEF
14541,Exterior Color,BLUE
14542,Exterior Color,WHITE
14542,Upholstery Type,RED
14543,Exterior Color,SILVER
14543,Upholstery Type,BLACK
14544,Upholstery Type,BLACK
14544,Exterior Color,BLACK
14545,Upholstery Type,UNDEF
14545,Exterior Color,BLACK
14546,Exterior Color,WHITE
14546,Upholstery Type,BLACK
14547,Upholstery Type,BLACK
14547,Exterior Color,BLACK
14548,Upholstery Type,BLACK
14548,Exterior Color,WHITE
14549,Upholstery Type,BLACK
14549,Exterior Color,GREY
14550,Upholstery Type,BLACK
14550,Exterior Color,BLACK
14551,Exterior Color,BLACK
14551,Upholstery Type,UNDEF
14552,Upholstery Type,BLACK
14552,Exterior Color,GREY
14553,Upholstery Type,BLACK
14553,Exterior Color,BLACK
14554,Exterior Color,RED
14554,Upholstery Type,BLACK
14555,Upholstery Type,BLACK
14555,Exterior Color,BLUE
14556,Upholstery Type,BLACK
14556,Exterior Color,SILVER
14557,Exterior Color,WHITE
14557,Upholstery Type,BLACK
14558,Exterior Color,WHITE
14558,Upholstery Type,BLACK
14559,Upholstery Type,BLACK
14559,Exterior Color,WHITE
14560,Upholstery Type,BLACK
14560,Exterior Color,SILVER
14561,Exterior Color,WHITE
14561,Upholstery Type,BLACK
14562,Exterior Color,BLACK
14562,Upholstery Type,BLACK
14563,Upholstery Type,BLACK
14563,Exterior Color,GREY
14564,Upholstery Type,BLACK
14564,Exterior Color,GREY
14565,Upholstery Type,BLACK
14565,Exterior Color,WHITE
14566,Exterior Color,BLACK
14566,Upholstery Type,BLACK
14567,Exterior Color,BLUE
14567,Upholstery Type,BROWN
14568,Exterior Color,GREY
14568,Upholstery Type,BLACK
14569,Upholstery Type,BLACK
14569,Exterior Color,WHITE
14570,Upholstery Type,BLACK
14570,Exterior Color,WHITE
14571,Upholstery Type,BLACK
14571,Exterior Color,RED
14572,Upholstery Type,BLACK
14572,Exterior Color,GREY
14573,Upholstery Type,BLACK
14573,Exterior Color,GREY
14574,Upholstery Type,BLACK
14574,Exterior Color,GREY
14575,Upholstery Type,BLACK
14575,Exterior Color,BLACK
14576,Exterior Color,WHITE
14576,Upholstery Type,BLACK
14577,Upholstery Type,BLACK
14577,Exterior Color,WHITE
14578,Upholstery Type,BEIGE
14578,Exterior Color,WHITE
14579,Exterior Color,GREY
14579,Upholstery Type,BLACK
14580,Exterior Color,WHITE
14580,Upholstery Type,BLACK
14581,Exterior Color,BLACK
14581,Upholstery Type,BLACK
14582,Exterior Color,SILVER
14582,Upholstery Type,BLACK
14583,Upholstery Type,BLACK
14583,Exterior Color,BLACK
14584,Upholstery Type,BLACK
14584,Exterior Color,WHITE
14585,Upholstery Type,BLACK
14585,Exterior Color,BLACK
14586,Upholstery Type,BLACK
14586,Exterior Color,WHITE
14587,Exterior Color,UNDEF
14587,Upholstery Type,BLACK
14588,Upholstery Type,UNDEF
14588,Exterior Color,BLUE
14589,Upholstery Type,BLACK
14589,Exterior Color,GREY
14590,Upholstery Type,BLACK
14590,Exterior Color,SILVER
14591,Upholstery Type,UNDEF
14591,Exterior Color,BLUE
14592,Exterior Color,BLACK
14592,Upholstery Type,BLACK
14593,Exterior Color,UNDEF
14593,Upholstery Type,BLACK
14594,Upholstery Type,BLACK
14594,Exterior Color,GREY
14595,Upholstery Type,BROWN
14595,Exterior Color,UNDEF
14596,Upholstery Type,BLACK
14596,Exterior Color,BLACK
14597,Exterior Color,GREY
14597,Upholstery Type,BLACK
14598,Upholstery Type,WHITE
14598,Exterior Color,UNDEF
14599,Upholstery Type,UNDEF
14599,Exterior Color,BLACK
14600,Upholstery Type,UNDEF
14600,Exterior Color,BLACK
14601,Upholstery Type,BLACK
14601,Exterior Color,BLUE
14602,Exterior Color,GREY
14602,Upholstery Type,BEIGE
14603,Upholstery Type,BLACK
14603,Exterior Color,BLUE
14604,Upholstery Type,BLACK
14604,Exterior Color,BLACK
14605,Upholstery Type,BLACK
14605,Exterior Color,BLACK
14606,Exterior Color,WHITE
14606,Upholstery Type,BEIGE
14607,Upholstery Type,BLACK
14607,Exterior Color,GREY
14608,Upholstery Type,BLACK
14608,Exterior Color,WHITE
14609,Upholstery Type,BLACK
14609,Exterior Color,WHITE
14610,Upholstery Type,BLACK
14610,Exterior Color,BLUE
14611,Upholstery Type,BLACK
14611,Exterior Color,BLUE
14612,Exterior Color,WHITE
14612,Upholstery Type,BLACK
14613,Upholstery Type,BLACK
14613,Exterior Color,WHITE
14614,Upholstery Type,BLACK
14614,Exterior Color,BLACK
14615,Upholstery Type,BLACK
14615,Exterior Color,BLACK
14616,Exterior Color,BLUE
14616,Upholstery Type,BLACK
14617,Exterior Color,GREY
14617,Upholstery Type,BLACK
14618,Exterior Color,WHITE
14618,Upholstery Type,BLACK
14619,Exterior Color,BLUE
14619,Upholstery Type,BLACK
14620,Exterior Color,SILVER
14620,Upholstery Type,BLACK
14621,Upholstery Type,BLACK
14621,Exterior Color,WHITE
14622,Exterior Color,WHITE
14622,Upholstery Type,BLACK
14623,Exterior Color,WHITE
14623,Upholstery Type,BLACK
14624,Exterior Color,GREY
14624,Upholstery Type,BLACK
14625,Exterior Color,WHITE
14625,Upholstery Type,BLACK
14626,Upholstery Type,BLACK
14626,Exterior Color,BLACK
14627,Upholstery Type,BEIGE
14627,Exterior Color,BLACK
14628,Exterior Color,WHITE
14628,Upholstery Type,BLACK
14629,Exterior Color,GREY
14629,Upholstery Type,UNDEF
14630,Exterior Color,UNDEF
14630,Upholstery Type,UNDEF
14631,Upholstery Type,BLACK
14631,Exterior Color,WHITE
14632,Upholstery Type,RED
14632,Exterior Color,WHITE
14633,Upholstery Type,BEIGE
14633,Exterior Color,WHITE
14634,Exterior Color,BLACK
14634,Upholstery Type,BEIGE
14635,Exterior Color,BLACK
14635,Upholstery Type,BLACK
14636,Exterior Color,WHITE
14636,Upholstery Type,BLACK
14637,Exterior Color,BLACK
14637,Upholstery Type,BLACK
14638,Exterior Color,WHITE
14638,Upholstery Type,BLACK
14639,Upholstery Type,BLACK
14639,Exterior Color,WHITE
14640,Upholstery Type,BLACK
14640,Exterior Color,BLACK
14641,Exterior Color,SILVER
14641,Upholstery Type,UNDEF
14642,Exterior Color,BLACK
14642,Upholstery Type,BLACK
14643,Exterior Color,GREY
14643,Upholstery Type,BLACK
14644,Exterior Color,WHITE
14644,Upholstery Type,BLACK
14645,Exterior Color,WHITE
