VIN_NO,TYPE,COLOUR
279,Exterior Color,SILVER
279,Upholstery Type,BLACK
280,Exterior Color,WHITE
280,Upholstery Type,BLACK
281,Upholstery Type,BLACK
281,Exterior Color,SILVER
282,Exterior Color,BLACK
282,Upholstery Type,BROWN
283,Upholstery Type,BLACK
283,Exterior Color,WHITE
284,Upholstery Type,BLACK
284,Exterior Color,WHITE
285,Exterior Color,BLACK
285,Upholstery Type,BLACK
286,Exterior Color,BLACK
286,Upholstery Type,BLACK
287,Exterior Color,GREY
287,Upholstery Type,BLACK
288,Exterior Color,GREY
288,Upholstery Type,BLACK
289,Exterior Color,BLACK
289,Upholstery Type,BLACK
290,Exterior Color,WHITE
290,Upholstery Type,BLACK
291,Exterior Color,BLACK
291,Upholstery Type,BLACK
292,Exterior Color,BLACK
292,Upholstery Type,BLACK
293,Exterior Color,BLACK
293,Upholstery Type,RED
294,Upholstery Type,BLACK
294,Exterior Color,WHITE
295,Upholstery Type,BROWN
295,Exterior Color,WHITE
296,Exterior Color,UNDEF
296,Upholstery Type,BLACK
297,Upholstery Type,BLACK
297,Exterior Color,WHITE
298,Upholstery Type,BLACK
298,Exterior Color,BLACK
299,Upholstery Type,BLACK
299,Exterior Color,WHITE
300,Upholstery Type,BROWN
300,Exterior Color,GREY
301,Upholstery Type,BLACK
301,Exterior Color,UNDEF
302,Upholstery Type,BROWN
302,Exterior Color,WHITE
303,Upholstery Type,UNDEF
303,Exterior Color,BLUE
304,Exterior Color,BLACK
304,Upholstery Type,BROWN
305,Upholstery Type,BLACK
305,Exterior Color,BLACK
306,Upholstery Type,BLACK
306,Exterior Color,GREY
307,Upholstery Type,BROWN
307,Exterior Color,BLUE
308,Upholstery Type,UNDEF
308,Exterior Color,BLACK
309,Upholstery Type,BEIGE
309,Exterior Color,WHITE
310,Upholstery Type,BROWN
310,Exterior Color,WHITE
311,Exterior Color,UNDEF
311,Upholstery Type,BLACK
312,Exterior Color,GREY
312,Upholstery Type,BROWN
313,Exterior Color,WHITE
313,Upholstery Type,BLACK
314,Exterior Color,BLACK
314,Upholstery Type,BEIGE
315,Upholstery Type,BLACK
315,Exterior Color,GREY
316,Upholstery Type,BLACK
316,Exterior Color,BLACK
317,Exterior Color,BLACK
317,Upholstery Type,BLACK
318,Exterior Color,BLACK
318,Upholstery Type,UNDEF
319,Upholstery Type,BLACK
319,Exterior Color,BLACK
320,Exterior Color,GREY
320,Upholstery Type,UNDEF
321,Upholstery Type,BEIGE
321,Exterior Color,BLUE
322,Upholstery Type,BLACK
322,Exterior Color,BLACK
323,Exterior Color,WHITE
323,Upholstery Type,BROWN
324,Exterior Color,RED
324,Upholstery Type,BLACK
325,Upholstery Type,BROWN
325,Exterior Color,WHITE
326,Exterior Color,WHITE
326,Upholstery Type,BLACK
327,Upholstery Type,BLACK
327,Exterior Color,GREY
329,Exterior Color,BLACK
329,Upholstery Type,BEIGE
330,Upholstery Type,BLACK
330,Exterior Color,GREY
331,Exterior Color,GREY
331,Upholstery Type,BROWN
332,Upholstery Type,BLACK
332,Exterior Color,BLACK
333,Upholstery Type,BLACK
333,Exterior Color,GREY
334,Exterior Color,BLUE
334,Upholstery Type,BROWN
335,Exterior Color,BLACK
335,Upholstery Type,BLACK
336,Upholstery Type,BLACK
336,Exterior Color,BLACK
